22:06:06: 2019-11-18si è verificata una vittoria della banca 
22:06:59: 2019-11-18si è verificata una vittoria della banca 
22:09:38: 2019-11-18si è verificata una vittoria della banca 
22:15:37: 2019-11-18si è verificata una vittoria della banca 
08:07:22: 2019-11-20si è verificata una vittoria della banca 
08:33:23: 2019-11-20si è verificata una vittoria della banca 
08:34:16: 2019-11-20si è verificata una vittoria della banca 
08:44:03: 2019-11-20si è verificata una vittoria della banca 
08:47:24: 2019-11-20si è verificata una vittoria della banca 
08:50:01: 2019-11-20si è verificata una vittoria della banca 
08:51:20: 2019-11-20si è verificata una vittoria della banca 
09:01:42: 2019-11-20si è verificata una vittoria della banca q
09:03:56: 2019-11-20si è verificata una vittoria della banca 
09:12:08: 2019-11-20si è verificata una vittoria della banca 
09:24:35: 2019-11-20si è verificata una perdita della banca di 
09:25:32: 2019-11-20si è verificata una perdita della banca di 
09:26:31: 2019-11-20si è verificata una perdita della banca di 
09:28:49: 2019-11-20si è verificata una perdita della banca di 
09:30:51: 2019-11-20si è verificata una perdita della banca di 
09:33:13: 2019-11-20si è verificata una perdita della banca di 
09:34:05: 2019-11-20si è verificata una perdita della banca di 
09:35:29: 2019-11-20si è verificata una perdita della banca di 
09:44:30: 2019-11-20si è verificata una perdita della banca di 
09:45:51: 2019-11-20si è verificata una perdita della banca di 
09:45:51: 2019-11-20si è verificata una perdita della banca di 
09:45:51: 2019-11-20si è verificata una perdita della banca di 
09:50:34: 2019-11-20si è verificata una perdita della banca di 
09:50:34: 2019-11-20si è verificata una perdita della banca di 
15:42:22: 2019-11-20si è verificata una perdita della banca di 
15:42:22: 2019-11-20si è verificata una perdita della banca di 
18:59:11: 2019-11-20si è verificata una perdita della banca di 
19:00:29: 2019-11-20si è verificata una perdita della banca di 
21:15:03: 2019-11-20si è verificata una perdita della banca di 
21:15:03: 2019-11-20si è verificata una perdita della banca di 
21:15:03: 2019-11-20si è verificata una perdita della banca di 
21:15:03: 2019-11-20si è verificata una perdita della banca di 
15:17:08: 2019-11-23si è verificata una perdita della banca di 
15:18:29: 2019-11-23si è verificata una perdita della banca di 
15:20:22: 2019-11-23si è verificata una perdita della banca di 
15:22:33: 2019-11-23si è verificata una perdita della banca di 
17:17:18: 2019-11-24si è verificata una perdita della banca di 
22:13:41: 2019-11-24si è verificata una perdita della banca di 
22:16:08: 2019-11-24si è verificata una perdita della banca di 
22:16:08: 2019-11-24si è verificata una perdita della banca di 
17:56:14: 2019-12-07si è verificata una perdita della banca di 
17:56:14: 2019-12-07si è verificata una perdita della banca di 
17:58:24: 2019-12-07si è verificata una perdita della banca di 
17:58:24: 2019-12-07si è verificata una perdita della banca di 
19:01:22: 2019-12-07si è verificata una perdita della banca di 
19:13:15: 2019-12-07si è verificata una perdita della banca di 
19:13:15: 2019-12-07si è verificata una perdita della banca di 
19:53:19: 2019-12-07si è verificata una perdita della banca di 
19:54:14: 2019-12-07si è verificata una perdita della banca di 
20:00:41: 2019-12-07si è verificata una vincita della banca di 
20:00:41: 2019-12-07si è verificata una vincita della banca di 
20:00:41: 2019-12-07si è verificata una perdita della banca di <_io.TextIOWrapper name='fondi-giocatore.txt' mode='r' encoding='cp1252'>
20:04:03: 2019-12-07si è verificata una vincita della banca di 
20:04:03: 2019-12-07si è verificata una perdita della banca di 194643
20:11:33: 2019-12-07si è verificata una vincita della banca di 
01:30:57: 2019-12-08si è verificata una vincita della banca di 
01:46:31: 2019-12-08si è verificata una perdita della banca di 140
02:01:56: 2019-12-08si è verificata una vincita della banca di 400
02:02:59: 2019-12-08si è verificata una vincita della banca di 0
12:32:51: 2019-12-08si è verificata una vincita della banca di 700
12:36:37: 2019-12-08si è verificata una vincita della banca di 800
12:40:17: 2019-12-08si è verificata una vincita della banca di 500
12:46:30: 2019-12-08si è verificata una vincita della banca di 20
12:46:30: 2019-12-08si è verificata una vincita della banca di 20
12:57:55: 2019-12-08si è verificata una perdita della banca di 16
2019-12-08 12:21:55si è verificata una vincita della banca di 200
2019-12-08 12:22:48si è verificata una vincita della banca di 50
13:24:09: 2019-12-08si è verificata una perdita della banca di 1200
13:37:07: 2019-12-08si è verificata una vincita della banca di 700
13:38:32: 2019-12-08si è verificata una vincita della banca di 900
15:03:22: 2019-12-09si è verificata una vincita della banca di 800
15:03:58: 2019-12-09si è verificata una vincita della banca di 600
15:12:21: 2019-12-09si è verificata una vincita della banca di 600
16:04:54: 2019-12-09si è verificata una vincita della banca di 80000
17:15:30: 2019-12-09si è verificata una perdita della banca di 1600
18:17:34: 2019-12-09si è verificata una vincita della banca di 80
18:17:34: 2019-12-09si è verificata una vincita della banca di 90
18:17:34: 2019-12-09si è verificata una vincita della banca di 900
18:17:34: 2019-12-09si è verificata una vincita della banca di 900
18:17:34: 2019-12-09si è verificata una vincita della banca di 500
18:17:34: 2019-12-09si è verificata una vincita della banca di 20
18:17:34: 2019-12-09si è verificata una vincita della banca di 8
18:17:34: 2019-12-09si è verificata una perdita della banca di 2
18:17:34: 2019-12-09si è verificata una perdita della banca di 4
18:17:34: 2019-12-09si è verificata una vincita della banca di 1
16:47:08: 2019-12-10si è verificata una vincita della banca di 900
16:47:08: 2019-12-10si è verificata una vincita della banca di 800
16:47:08: 2019-12-10si è verificata una vincita della banca di 900
16:47:08: 2019-12-10si è verificata una vincita della banca di 7000
16:47:08: 2019-12-10si è verificata una vincita della banca di 200
16:47:08: 2019-12-10si è verificata una vincita della banca di 100
16:47:08: 2019-12-10si è verificata una vincita della banca di 100
16:47:08: 2019-12-10si è verificata una vincita della banca di 800
16:47:08: 2019-12-10si è verificata una perdita della banca di 100
16:47:08: 2019-12-10si è verificata una vincita della banca di 2
16:47:08: 2019-12-10si è verificata una vincita della banca di 98
16:47:08: 2019-12-10si è verificata una vincita della banca di 10
16:47:08: 2019-12-10si è verificata una vincita della banca di 3000
21:25:30: 2019-12-17si è verificata una vincita della banca di 900
21:25:30: 2019-12-17si è verificata una vincita della banca di 400
21:25:30: 2019-12-17si è verificata una vincita della banca di 900
21:25:30: 2019-12-17si è verificata una perdita della banca di 600
21:25:30: 2019-12-17si è verificata una vincita della banca di 300
01:51:04: 2019-12-23si è verificata una vincita della banca di 6
01:51:04: 2019-12-23si è verificata una vincita della banca di 4
01:51:04: 2019-12-23si è verificata una vincita della banca di 4
02:03:09: 2019-12-23si è verificata una vincita della banca di 4
13:01:29: 2020-01-04si è verificata una perdita della banca di 180
13:01:29: 2020-01-04si è verificata una vincita della banca di 500
